"","X","participant_id","option_chosen","problem_number","running_number","trial_number","cond","a.b.f","b.b.f","a.se.f","b.se.f","a_be","pa_be","a_se","pa_se","b_be","pb_be","b_se","pb_se","de_gap_rule"
"8880",8880,74,1,100,60,21,"exp",0.5,0.555555555555556,0.25,0.111111111111111,3,0.761,5,0.276,3,0.716,8,0.056,0.116666666666667
"8881",8881,75,1,2,1,16,"desc",NA,NA,NA,NA,4,0.88,3,0.114,4,0.733,6,0.178,0.183333333333333
"8882",8882,75,1,3,2,7,"desc",NA,NA,NA,NA,3,0.68,9,0.251,3,0.614,10,0.051,0.183333333333333
"8883",8883,75,1,5,3,30,"desc",NA,NA,NA,NA,4,0.905,10,0.074,4,0.709,9,0.205,0.183333333333333
"8884",8884,75,0,8,4,53,"desc",NA,NA,NA,NA,6,0.545,8,0.067,6,0.694,7,0.026,0.183333333333333
"8885",8885,75,0,10,5,40,"desc",NA,NA,NA,NA,4,0.921,9,0.226,4,0.73,3,0.089,0.183333333333333
"8886",8886,75,0,11,6,19,"desc",NA,NA,NA,NA,3,0.644,8,0.02,3,0.914,3,0.14,0.183333333333333
"8887",8887,75,1,12,7,60,"desc",NA,NA,NA,NA,4,0.688,3,0.122,4,0.706,7,0.024,0.183333333333333
"8888",8888,75,1,13,8,55,"desc",NA,NA,NA,NA,8,0.635,3,0.157,8,0.611,9,0.092,0.183333333333333
"8889",8889,75,1,14,9,59,"desc",NA,NA,NA,NA,4,0.511,3,0.049,4,0.778,10,0.054,0.183333333333333
"8890",8890,75,0,15,10,20,"desc",NA,NA,NA,NA,4,0.675,9,0.105,4,0.775,3,0.176,0.183333333333333
"8891",8891,75,1,16,11,27,"desc",NA,NA,NA,NA,3,0.836,7,0.014,3,0.703,9,0.185,0.183333333333333
"8892",8892,75,1,17,12,3,"desc",NA,NA,NA,NA,3,0.922,8,0.062,3,0.563,9,0.056,0.183333333333333
"8893",8893,75,1,18,13,36,"desc",NA,NA,NA,NA,4,0.584,8,0.015,4,0.658,10,0.027,0.183333333333333
"8894",8894,75,1,19,14,5,"desc",NA,NA,NA,NA,3,0.804,3,0.064,3,0.889,3,0.163,0.183333333333333
"8895",8895,75,1,22,15,10,"desc",NA,NA,NA,NA,8,0.642,9,0.213,8,0.902,10,0.042,0.183333333333333
"8896",8896,75,1,23,16,23,"desc",NA,NA,NA,NA,4,0.828,3,0.033,4,0.81,6,0.104,0.183333333333333
"8897",8897,75,1,26,17,51,"desc",NA,NA,NA,NA,3,0.645,6,0.215,3,0.8,9,0.188,0.183333333333333
"8898",8898,75,0,27,18,38,"desc",NA,NA,NA,NA,3,0.517,8,0.085,3,0.835,8,0.072,0.183333333333333
"8899",8899,75,0,28,19,15,"desc",NA,NA,NA,NA,3,0.9,7,0.012,3,0.786,3,0.181,0.183333333333333
"8900",8900,75,1,29,20,11,"desc",NA,NA,NA,NA,4,0.676,3,0.058,4,0.571,9,0.218,0.183333333333333
"8901",8901,75,1,31,21,32,"desc",NA,NA,NA,NA,3,0.769,3,0.091,3,0.681,9,0.219,0.183333333333333
"8902",8902,75,1,32,22,43,"desc",NA,NA,NA,NA,3,0.86,6,0.132,3,0.782,7,0.014,0.183333333333333
"8903",8903,75,1,34,23,26,"desc",NA,NA,NA,NA,4,0.596,9,0.145,4,0.944,8,0.135,0.183333333333333
"8904",8904,75,0,35,24,6,"desc",NA,NA,NA,NA,6,0.575,7,0.014,6,0.724,3,0.183,0.183333333333333
"8905",8905,75,1,36,25,12,"desc",NA,NA,NA,NA,6,0.791,7,0.019,6,0.631,8,0.019,0.183333333333333
"8906",8906,75,1,39,26,17,"desc",NA,NA,NA,NA,4,0.752,3,0.146,4,0.624,10,0.037,0.183333333333333
"8907",8907,75,0,42,27,8,"desc",NA,NA,NA,NA,8,0.561,6,0.199,8,0.824,3,0.151,0.183333333333333
"8908",8908,75,1,43,28,41,"desc",NA,NA,NA,NA,6,0.767,8,0.03,6,0.871,8,0.117,0.183333333333333
"8909",8909,75,1,44,29,46,"desc",NA,NA,NA,NA,4,0.766,3,0.083,4,0.635,3,0.136,0.183333333333333
"8910",8910,75,1,45,30,1,"desc",NA,NA,NA,NA,4,0.609,9,0.164,4,0.691,6,0.081,0.183333333333333
"8911",8911,75,0,48,31,35,"desc",NA,NA,NA,NA,6,0.754,10,0.088,6,0.833,3,0.235,0.183333333333333
"8912",8912,75,1,53,32,22,"desc",NA,NA,NA,NA,4,0.713,7,0.01,4,0.763,8,0.041,0.183333333333333
"8913",8913,75,0,54,33,45,"desc",NA,NA,NA,NA,3,0.659,9,0.227,3,0.594,9,0.134,0.183333333333333
"8914",8914,75,0,56,34,44,"desc",NA,NA,NA,NA,5,0.77,8,0.016,5,0.62,9,0.091,0.183333333333333
"8915",8915,75,1,57,35,37,"desc",NA,NA,NA,NA,6,0.645,3,0.137,6,0.677,8,0.017,0.183333333333333
"8916",8916,75,1,59,36,34,"desc",NA,NA,NA,NA,3,0.569,3,0.16,3,0.795,7,0.071,0.183333333333333
"8917",8917,75,0,60,37,48,"desc",NA,NA,NA,NA,3,0.566,8,0.06,3,0.766,3,0.192,0.183333333333333
"8918",8918,75,0,61,38,31,"desc",NA,NA,NA,NA,6,0.86,10,0.104,6,0.659,3,0.138,0.183333333333333
"8919",8919,75,0,65,39,57,"desc",NA,NA,NA,NA,4,0.571,9,0.261,4,0.514,7,0.014,0.183333333333333
"8920",8920,75,1,67,40,42,"desc",NA,NA,NA,NA,3,0.711,8,0.145,3,0.536,9,0.139,0.183333333333333
"8921",8921,75,0,68,41,50,"desc",NA,NA,NA,NA,6,0.845,9,0.162,6,0.869,9,0.068,0.183333333333333
"8922",8922,75,1,70,42,52,"desc",NA,NA,NA,NA,5,0.556,7,0.029,5,0.715,8,0.105,0.183333333333333
"8923",8923,75,1,71,43,2,"desc",NA,NA,NA,NA,4,0.606,8,0.036,4,0.577,3,0.105,0.183333333333333
"8924",8924,75,0,73,44,49,"desc",NA,NA,NA,NA,4,0.703,6,0.162,4,0.756,3,0.103,0.183333333333333
"8925",8925,75,0,74,45,21,"desc",NA,NA,NA,NA,4,0.693,8,0.031,4,0.708,6,0.18,0.183333333333333
"8926",8926,75,0,76,46,25,"desc",NA,NA,NA,NA,3,0.794,3,0.2,3,0.837,7,0.018,0.183333333333333
"8927",8927,75,0,77,47,54,"desc",NA,NA,NA,NA,4,0.741,7,0.02,4,0.571,9,0.198,0.183333333333333
"8928",8928,75,1,79,48,4,"desc",NA,NA,NA,NA,5,0.733,3,0.167,5,0.799,8,0.038,0.183333333333333
"8929",8929,75,0,80,49,9,"desc",NA,NA,NA,NA,3,0.812,9,0.037,3,0.817,6,0.199,0.183333333333333
"8930",8930,75,1,81,50,33,"desc",NA,NA,NA,NA,4,0.626,9,0.205,4,0.571,10,0.027,0.183333333333333
"8931",8931,75,0,83,51,58,"desc",NA,NA,NA,NA,6,0.742,8,0.052,6,0.688,3,0.112,0.183333333333333
"8932",8932,75,1,84,52,28,"desc",NA,NA,NA,NA,6,0.595,6,0.187,6,0.669,9,0.065,0.183333333333333
"8933",8933,75,1,85,53,47,"desc",NA,NA,NA,NA,8,0.668,3,0.153,8,0.846,9,0.082,0.183333333333333
"8934",8934,75,0,86,54,39,"desc",NA,NA,NA,NA,3,0.716,9,0.074,3,0.676,9,0.176,0.183333333333333
"8935",8935,75,1,90,55,56,"desc",NA,NA,NA,NA,6,0.832,3,0.118,6,0.903,9,0.193,0.183333333333333
"8936",8936,75,0,92,56,24,"desc",NA,NA,NA,NA,3,0.793,7,0.013,3,0.637,3,0.089,0.183333333333333
"8937",8937,75,1,95,57,18,"desc",NA,NA,NA,NA,6,0.604,8,0.043,6,0.514,8,0.071,0.183333333333333
"8938",8938,75,1,96,58,13,"desc",NA,NA,NA,NA,8,0.703,3,0.066,8,0.597,6,0.158,0.183333333333333
"8939",8939,75,1,99,59,14,"desc",NA,NA,NA,NA,4,0.596,3,0.137,4,0.736,8,0.075,0.183333333333333
"8940",8940,75,1,100,60,29,"desc",NA,NA,NA,NA,4,0.761,9,0.276,4,0.716,7,0.056,0.183333333333333
"8941",8941,75,0,2,1,11,"exp",0,1,0,0,4,0.88,3,0.114,4,0.733,6,0.178,0.183333333333333
"8942",8942,75,0,3,2,45,"exp",0.666666666666667,0.5,0.333333333333333,0,3,0.68,9,0.251,3,0.614,10,0.051,0.183333333333333
"8943",8943,75,1,5,3,55,"exp",0.833333333333333,0.5,0,0.5,4,0.905,10,0.074,4,0.709,9,0.205,0.183333333333333
"8944",8944,75,0,8,4,26,"exp",0,1,0,0,6,0.545,8,0.067,6,0.694,7,0.026,0.183333333333333
"8945",8945,75,0,10,5,32,"exp",0,1,0,0,4,0.921,9,0.226,4,0.73,3,0.089,0.183333333333333
"8946",8946,75,0,11,6,38,"exp",0,1,0,0,3,0.644,8,0.02,3,0.914,3,0.14,0.183333333333333
"8947",8947,75,0,12,7,42,"exp",0.5,0.5,0.5,0,4,0.688,3,0.122,4,0.706,7,0.024,0.183333333333333
"8948",8948,75,0,13,8,31,"exp",0,1,1,0,8,0.635,3,0.157,8,0.611,9,0.092,0.183333333333333
"8949",8949,75,0,14,9,49,"exp",0.333333333333333,1,0.166666666666667,0,4,0.511,3,0.049,4,0.778,10,0.054,0.183333333333333
"8950",8950,75,1,15,10,8,"exp",1,0,0,0,4,0.675,9,0.105,4,0.775,3,0.176,0.183333333333333
"8951",8951,75,1,16,11,36,"exp",1,0,0,0,3,0.836,7,0.014,3,0.703,9,0.185,0.183333333333333
"8952",8952,75,1,17,12,41,"exp",1,0,0,0,3,0.922,8,0.062,3,0.563,9,0.056,0.183333333333333
"8953",8953,75,0,18,13,50,"exp",0,1,0,0,4,0.584,8,0.015,4,0.658,10,0.027,0.183333333333333
"8954",8954,75,1,19,14,60,"exp",0.833333333333333,0.75,0.333333333333333,0.5,3,0.804,3,0.064,3,0.889,3,0.163,0.183333333333333
"8955",8955,75,0,22,15,16,"exp",0,1,0,0,8,0.642,9,0.213,8,0.902,10,0.042,0.183333333333333
"8956",8956,75,0,23,16,51,"exp",0,0.6,0,0,4,0.828,3,0.033,4,0.81,6,0.104,0.183333333333333
"8957",8957,75,0,26,17,59,"exp",0.5,1,0.25,0,3,0.645,6,0.215,3,0.8,9,0.188,0.183333333333333
"8958",8958,75,0,27,18,24,"exp",0,0.5,0,0,3,0.517,8,0.085,3,0.835,8,0.072,0.183333333333333
"8959",8959,75,0,28,19,1,"exp",0,1,0,0,3,0.9,7,0.012,3,0.786,3,0.181,0.183333333333333
"8960",8960,75,0,29,20,6,"exp",0,1,0,0,4,0.676,3,0.058,4,0.571,9,0.218,0.183333333333333
"8961",8961,75,1,31,21,46,"exp",1,1,0,0,3,0.769,3,0.091,3,0.681,9,0.219,0.183333333333333
"8962",8962,75,0,32,22,13,"exp",0,1,0,0,3,0.86,6,0.132,3,0.782,7,0.014,0.183333333333333
"8963",8963,75,1,34,23,3,"exp",1,1,0,1,4,0.596,9,0.145,4,0.944,8,0.135,0.183333333333333
"8964",8964,75,1,35,24,23,"exp",1,0,0,0,6,0.575,7,0.014,6,0.724,3,0.183,0.183333333333333
"8965",8965,75,0,36,25,43,"exp",0,0.5,0,0,6,0.791,7,0.019,6,0.631,8,0.019,0.183333333333333
"8966",8966,75,0,39,26,29,"exp",1,1,0,0,4,0.752,3,0.146,4,0.624,10,0.037,0.183333333333333
"8967",8967,75,0,42,27,30,"exp",0,1,0,0,8,0.561,6,0.199,8,0.824,3,0.151,0.183333333333333
"8968",8968,75,0,43,28,34,"exp",0,1,0,0,6,0.767,8,0.03,6,0.871,8,0.117,0.183333333333333
"8969",8969,75,1,44,29,40,"exp",1,1,0,1,4,0.766,3,0.083,4,0.635,3,0.136,0.183333333333333
"8970",8970,75,1,45,30,22,"exp",1,0,0,0,4,0.609,9,0.164,4,0.691,6,0.081,0.183333333333333
"8971",8971,75,0,48,31,37,"exp",0,1,0,0,6,0.754,10,0.088,6,0.833,3,0.235,0.183333333333333
"8972",8972,75,1,53,32,57,"exp",0.75,0,0,0,4,0.713,7,0.01,4,0.763,8,0.041,0.183333333333333
"8973",8973,75,1,54,33,5,"exp",1,0,0,1,3,0.659,9,0.227,3,0.594,9,0.134,0.183333333333333
"8974",8974,75,0,56,34,33,"exp",0,1,0,0,5,0.77,8,0.016,5,0.62,9,0.091,0.183333333333333
"8975",8975,75,1,57,35,54,"exp",0.8,0.6,0,0,6,0.645,3,0.137,6,0.677,8,0.017,0.183333333333333
"8976",8976,75,0,59,36,15,"exp",1,1,0,0,3,0.569,3,0.16,3,0.795,7,0.071,0.183333333333333
"8977",8977,75,0,60,37,53,"exp",0.333333333333333,1,0,0,3,0.566,8,0.06,3,0.766,3,0.192,0.183333333333333
"8978",8978,75,1,61,38,4,"exp",1,0,0,0,6,0.86,10,0.104,6,0.659,3,0.138,0.183333333333333
"8979",8979,75,0,65,39,19,"exp",0,1,0,0,4,0.571,9,0.261,4,0.514,7,0.014,0.183333333333333
"8980",8980,75,1,67,40,56,"exp",0.25,0.769230769230769,0.166666666666667,0.230769230769231,3,0.711,8,0.145,3,0.536,9,0.139,0.183333333333333
"8981",8981,75,1,68,41,21,"exp",1,1,0,0,6,0.845,9,0.162,6,0.869,9,0.068,0.183333333333333
"8982",8982,75,1,70,42,25,"exp",1,0,0,0,5,0.556,7,0.029,5,0.715,8,0.105,0.183333333333333
"8983",8983,75,1,71,43,48,"exp",0.5,0.2,0,0,4,0.606,8,0.036,4,0.577,3,0.105,0.183333333333333
"8984",8984,75,1,73,44,14,"exp",1,0,0,0,4,0.703,6,0.162,4,0.756,3,0.103,0.183333333333333
"8985",8985,75,1,74,45,47,"exp",1,0,0,0,4,0.693,8,0.031,4,0.708,6,0.18,0.183333333333333
"8986",8986,75,0,76,46,7,"exp",0,1,0,0,3,0.794,3,0.2,3,0.837,7,0.018,0.183333333333333
"8987",8987,75,1,77,47,35,"exp",1,0,0,0,4,0.741,7,0.02,4,0.571,9,0.198,0.183333333333333
"8988",8988,75,0,79,48,28,"exp",0,1,0,0,5,0.733,3,0.167,5,0.799,8,0.038,0.183333333333333
"8989",8989,75,1,80,49,18,"exp",1,0,0,0,3,0.812,9,0.037,3,0.817,6,0.199,0.183333333333333
"8990",8990,75,0,81,50,52,"exp",0.833333333333333,0.875,0.333333333333333,0.125,4,0.626,9,0.205,4,0.571,10,0.027,0.183333333333333
"8991",8991,75,1,83,51,10,"exp",1,0,0,0,6,0.742,8,0.052,6,0.688,3,0.112,0.183333333333333
"8992",8992,75,1,84,52,12,"exp",0.5,0,0,0,6,0.595,6,0.187,6,0.669,9,0.065,0.183333333333333
"8993",8993,75,0,85,53,39,"exp",1,1,1,0,8,0.668,3,0.153,8,0.846,9,0.082,0.183333333333333
"8994",8994,75,1,86,54,44,"exp",0.666666666666667,0.777777777777778,0,0.111111111111111,3,0.716,9,0.074,3,0.676,9,0.176,0.183333333333333
"8995",8995,75,0,90,55,9,"exp",0,1,0,0,6,0.832,3,0.118,6,0.903,9,0.193,0.183333333333333
"8996",8996,75,0,92,56,58,"exp",0,0.5,0,0,3,0.793,7,0.013,3,0.637,3,0.089,0.183333333333333
"8997",8997,75,0,95,57,17,"exp",0.5,0,0.5,0,6,0.604,8,0.043,6,0.514,8,0.071,0.183333333333333
"8998",8998,75,1,96,58,20,"exp",1,0,0,0,8,0.703,3,0.066,8,0.597,6,0.158,0.183333333333333
"8999",8999,75,0,99,59,27,"exp",1,0.5,1,0,4,0.596,3,0.137,4,0.736,8,0.075,0.183333333333333
"9000",9000,75,1,100,60,2,"exp",1,1,0,0,4,0.761,9,0.276,4,0.716,7,0.056,0.183333333333333
"9001",9001,76,1,2,1,41,"desc",NA,NA,NA,NA,6,0.88,9,0.114,6,0.733,7,0.178,0.183333333333333
"9002",9002,76,1,3,2,13,"desc",NA,NA,NA,NA,9,0.68,6,0.251,9,0.614,9,0.051,0.183333333333333
"9003",9003,76,1,5,3,11,"desc",NA,NA,NA,NA,9,0.905,9,0.074,9,0.709,6,0.205,0.183333333333333
"9004",9004,76,0,8,4,26,"desc",NA,NA,NA,NA,8,0.545,10,0.067,8,0.694,6,0.026,0.183333333333333
"9005",9005,76,1,10,5,2,"desc",NA,NA,NA,NA,9,0.921,6,0.226,9,0.73,6,0.089,0.183333333333333
"9006",9006,76,0,11,6,27,"desc",NA,NA,NA,NA,6,0.644,9,0.02,6,0.914,6,0.14,0.183333333333333
"9007",9007,76,0,12,7,7,"desc",NA,NA,NA,NA,6,0.688,9,0.122,6,0.706,6,0.024,0.183333333333333
"9008",9008,76,1,13,8,45,"desc",NA,NA,NA,NA,10,0.635,6,0.157,10,0.611,10,0.092,0.183333333333333
"9009",9009,76,0,14,9,36,"desc",NA,NA,NA,NA,6,0.511,6,0.049,6,0.778,9,0.054,0.183333333333333
"9010",9010,76,0,15,10,19,"desc",NA,NA,NA,NA,6,0.675,6,0.105,6,0.775,9,0.176,0.183333333333333
"9011",9011,76,1,16,11,34,"desc",NA,NA,NA,NA,9,0.836,6,0.014,9,0.703,10,0.185,0.183333333333333
"9012",9012,76,1,17,12,43,"desc",NA,NA,NA,NA,6,0.922,10,0.062,6,0.563,10,0.056,0.183333333333333
"9013",9013,76,0,18,13,33,"desc",NA,NA,NA,NA,9,0.584,10,0.015,9,0.658,9,0.027,0.183333333333333
"9014",9014,76,0,19,14,55,"desc",NA,NA,NA,NA,8,0.804,6,0.064,8,0.889,6,0.163,0.183333333333333
"9015",9015,76,0,22,15,30,"desc",NA,NA,NA,NA,10,0.642,6,0.213,10,0.902,9,0.042,0.183333333333333
"9016",9016,76,1,23,16,50,"desc",NA,NA,NA,NA,9,0.828,6,0.033,9,0.81,7,0.104,0.183333333333333
"9017",9017,76,0,26,17,58,"desc",NA,NA,NA,NA,9,0.645,7,0.215,9,0.8,6,0.188,0.183333333333333
"9018",9018,76,0,27,18,5,"desc",NA,NA,NA,NA,8,0.517,9,0.085,8,0.835,10,0.072,0.183333333333333
"9019",9019,76,1,28,19,56,"desc",NA,NA,NA,NA,9,0.9,6,0.012,9,0.786,6,0.181,0.183333333333333
"9020",9020,76,1,29,20,4,"desc",NA,NA,NA,NA,9,0.676,9,0.058,9,0.571,6,0.218,0.183333333333333
"9021",9021,76,1,31,21,25,"desc",NA,NA,NA,NA,8,0.769,9,0.091,8,0.681,10,0.219,0.183333333333333
"9022",9022,76,1,32,22,48,"desc",NA,NA,NA,NA,8,0.86,7,0.132,8,0.782,6,0.014,0.183333333333333
"9023",9023,76,0,34,23,40,"desc",NA,NA,NA,NA,9,0.596,10,0.145,9,0.944,9,0.135,0.183333333333333
"9024",9024,76,0,35,24,15,"desc",NA,NA,NA,NA,8,0.575,6,0.014,8,0.724,6,0.183,0.183333333333333
"9025",9025,76,1,36,25,29,"desc",NA,NA,NA,NA,7,0.791,6,0.019,7,0.631,10,0.019,0.183333333333333
"9026",9026,76,1,39,26,35,"desc",NA,NA,NA,NA,9,0.752,6,0.146,9,0.624,9,0.037,0.183333333333333
"9027",9027,76,0,42,27,31,"desc",NA,NA,NA,NA,10,0.561,7,0.199,10,0.824,9,0.151,0.183333333333333
"9028",9028,76,0,43,28,42,"desc",NA,NA,NA,NA,7,0.767,9,0.03,7,0.871,9,0.117,0.183333333333333
"9029",9029,76,1,44,29,1,"desc",NA,NA,NA,NA,6,0.766,9,0.083,6,0.635,6,0.136,0.183333333333333
"9030",9030,76,0,45,30,21,"desc",NA,NA,NA,NA,9,0.609,6,0.164,9,0.691,7,0.081,0.183333333333333
"9031",9031,76,0,48,31,8,"desc",NA,NA,NA,NA,7,0.754,9,0.088,7,0.833,9,0.235,0.183333333333333
"9032",9032,76,0,53,32,17,"desc",NA,NA,NA,NA,9,0.713,6,0.01,9,0.763,10,0.041,0.183333333333333
"9033",9033,76,1,54,33,32,"desc",NA,NA,NA,NA,9,0.659,6,0.227,9,0.594,10,0.134,0.183333333333333
"9034",9034,76,1,56,34,20,"desc",NA,NA,NA,NA,8,0.77,10,0.016,8,0.62,10,0.091,0.183333333333333
"9035",9035,76,0,57,35,16,"desc",NA,NA,NA,NA,8,0.645,6,0.137,8,0.677,9,0.017,0.183333333333333
"9036",9036,76,0,59,36,24,"desc",NA,NA,NA,NA,9,0.569,9,0.16,9,0.795,6,0.071,0.183333333333333
"9037",9037,76,0,60,37,60,"desc",NA,NA,NA,NA,9,0.566,9,0.06,9,0.766,9,0.192,0.183333333333333
"9038",9038,76,1,61,38,44,"desc",NA,NA,NA,NA,8,0.86,9,0.104,8,0.659,6,0.138,0.183333333333333
"9039",9039,76,0,65,39,57,"desc",NA,NA,NA,NA,9,0.571,6,0.261,9,0.514,6,0.014,0.183333333333333
"9040",9040,76,1,67,40,6,"desc",NA,NA,NA,NA,9,0.711,9,0.145,9,0.536,6,0.139,0.183333333333333
"9041",9041,76,1,68,41,14,"desc",NA,NA,NA,NA,7,0.845,6,0.162,7,0.869,10,0.068,0.183333333333333
"9042",9042,76,0,70,42,52,"desc",NA,NA,NA,NA,8,0.556,6,0.029,8,0.715,9,0.105,0.183333333333333
"9043",9043,76,1,71,43,9,"desc",NA,NA,NA,NA,9,0.606,9,0.036,9,0.577,6,0.105,0.183333333333333
"9044",9044,76,0,73,44,47,"desc",NA,NA,NA,NA,9,0.703,7,0.162,9,0.756,6,0.103,0.183333333333333
"9045",9045,76,1,74,45,49,"desc",NA,NA,NA,NA,6,0.693,9,0.031,6,0.708,7,0.18,0.183333333333333
"9046",9046,76,0,76,46,39,"desc",NA,NA,NA,NA,9,0.794,6,0.2,9,0.837,6,0.018,0.183333333333333
"9047",9047,76,1,77,47,10,"desc",NA,NA,NA,NA,9,0.741,6,0.02,9,0.571,6,0.198,0.183333333333333
"9048",9048,76,0,79,48,53,"desc",NA,NA,NA,NA,8,0.733,6,0.167,8,0.799,10,0.038,0.183333333333333
"9049",9049,76,1,80,49,59,"desc",NA,NA,NA,NA,6,0.812,10,0.037,6,0.817,7,0.199,0.183333333333333
"9050",9050,76,1,81,50,22,"desc",NA,NA,NA,NA,6,0.626,6,0.205,6,0.571,9,0.027,0.183333333333333
"9051",9051,76,1,83,51,23,"desc",NA,NA,NA,NA,8,0.742,10,0.052,8,0.688,6,0.112,0.183333333333333
"9052",9052,76,1,84,52,37,"desc",NA,NA,NA,NA,8,0.595,7,0.187,8,0.669,10,0.065,0.183333333333333
"9053",9053,76,0,85,53,28,"desc",NA,NA,NA,NA,10,0.668,6,0.153,10,0.846,10,0.082,0.183333333333333
"9054",9054,76,0,86,54,12,"desc",NA,NA,NA,NA,6,0.716,10,0.074,6,0.676,6,0.176,0.183333333333333
"9055",9055,76,0,90,55,51,"desc",NA,NA,NA,NA,7,0.832,6,0.118,7,0.903,6,0.193,0.183333333333333
"9056",9056,76,1,92,56,54,"desc",NA,NA,NA,NA,9,0.793,6,0.013,9,0.637,6,0.089,0.183333333333333
"9057",9057,76,1,95,57,3,"desc",NA,NA,NA,NA,8,0.604,10,0.043,8,0.514,9,0.071,0.183333333333333
"9058",9058,76,1,96,58,38,"desc",NA,NA,NA,NA,10,0.703,6,0.066,10,0.597,7,0.158,0.183333333333333
"9059",9059,76,0,99,59,46,"desc",NA,NA,NA,NA,9,0.596,6,0.137,9,0.736,10,0.075,0.183333333333333
"9060",9060,76,1,100,60,18,"desc",NA,NA,NA,NA,6,0.761,6,0.276,6,0.716,6,0.056,0.183333333333333
"9061",9061,76,0,2,1,25,"exp",0.75,1,0.25,0.2,6,0.88,9,0.114,6,0.733,7,0.178,0.183333333333333
"9062",9062,76,0,3,2,12,"exp",0,0,0,0,9,0.68,6,0.251,9,0.614,9,0.051,0.183333333333333
"9063",9063,76,0,5,3,52,"exp",0,1,0,0.2,9,0.905,9,0.074,9,0.709,6,0.205,0.183333333333333
"9064",9064,76,0,8,4,44,"exp",0.666666666666667,1,0,0,8,0.545,10,0.067,8,0.694,6,0.026,0.183333333333333
"9065",9065,76,1,10,5,2,"exp",0.888888888888889,0.777777777777778,0.222222222222222,0.111111111111111,9,0.921,6,0.226,9,0.73,6,0.089,0.183333333333333
"9066",9066,76,1,11,6,1,"exp",0.666666666666667,0.857142857142857,0,0.142857142857143,6,0.644,9,0.02,6,0.914,6,0.14,0.183333333333333
"9067",9067,76,1,12,7,22,"exp",0.75,0,0,0,6,0.688,9,0.122,6,0.706,6,0.024,0.183333333333333
"9068",9068,76,1,13,8,45,"exp",0.5,0.571428571428571,0.166666666666667,0.285714285714286,10,0.635,6,0.157,10,0.611,10,0.092,0.183333333333333
"9069",9069,76,0,14,9,60,"exp",0.333333333333333,0.8,0,0.2,6,0.511,6,0.049,6,0.778,9,0.054,0.183333333333333
"9070",9070,76,0,15,10,56,"exp",0.6,1,0,0,6,0.675,6,0.105,6,0.775,9,0.176,0.183333333333333
"9071",9071,76,1,16,11,55,"exp",0.833333333333333,0.8,0,0,9,0.836,6,0.014,9,0.703,10,0.185,0.183333333333333
"9072",9072,76,1,17,12,19,"exp",1,0,0,0,6,0.922,10,0.062,6,0.563,10,0.056,0.183333333333333
"9073",9073,76,0,18,13,21,"exp",0.333333333333333,1,0,0,9,0.584,10,0.015,9,0.658,9,0.027,0.183333333333333
"9074",9074,76,0,19,14,3,"exp",1,1,0.166666666666667,0,8,0.804,6,0.064,8,0.889,6,0.163,0.183333333333333
"9075",9075,76,0,22,15,7,"exp",0.285714285714286,0.571428571428571,0,0,10,0.642,6,0.213,10,0.902,9,0.042,0.183333333333333
"9076",9076,76,0,23,16,24,"exp",0.333333333333333,1,0.333333333333333,0,9,0.828,6,0.033,9,0.81,7,0.104,0.183333333333333
"9077",9077,76,0,26,17,39,"exp",0,0.8,0,0,9,0.645,7,0.215,9,0.8,6,0.188,0.183333333333333
"9078",9078,76,0,27,18,16,"exp",0.285714285714286,0.571428571428571,0,0,8,0.517,9,0.085,8,0.835,10,0.072,0.183333333333333
"9079",9079,76,1,28,19,54,"exp",0.8,0.6,0.2,0.4,9,0.9,6,0.012,9,0.786,6,0.181,0.183333333333333
"9080",9080,76,1,29,20,5,"exp",1,0.333333333333333,0,0.333333333333333,9,0.676,9,0.058,9,0.571,6,0.218,0.183333333333333
"9081",9081,76,1,31,21,4,"exp",1,0.5,0,0.25,8,0.769,9,0.091,8,0.681,10,0.219,0.183333333333333
"9082",9082,76,1,32,22,41,"exp",1,0.8,0,0,8,0.86,7,0.132,8,0.782,6,0.014,0.183333333333333
"9083",9083,76,0,34,23,9,"exp",0.6,1,0,0,9,0.596,10,0.145,9,0.944,9,0.135,0.183333333333333
"9084",9084,76,0,35,24,18,"exp",0.5,1,0,0,8,0.575,6,0.014,8,0.724,6,0.183,0.183333333333333
"9085",9085,76,1,36,25,50,"exp",1,0.8,0.2,0,7,0.791,6,0.019,7,0.631,10,0.019,0.183333333333333
"9086",9086,76,1,39,26,20,"exp",1,0,0.333333333333333,0,9,0.752,6,0.146,9,0.624,9,0.037,0.183333333333333
"9087",9087,76,1,42,27,59,"exp",0.833333333333333,0.8,0.166666666666667,0.2,10,0.561,7,0.199,10,0.824,9,0.151,0.183333333333333
"9088",9088,76,1,43,28,38,"exp",1,1,0,1,7,0.767,9,0.03,7,0.871,9,0.117,0.183333333333333
"9089",9089,76,1,44,29,10,"exp",1,0.6,0.2,0.2,6,0.766,9,0.083,6,0.635,6,0.136,0.183333333333333
"9090",9090,76,0,45,30,36,"exp",0.5,0.571428571428571,0.166666666666667,0,9,0.609,6,0.164,9,0.691,7,0.081,0.183333333333333
"9091",9091,76,1,48,31,34,"exp",0.8,0.75,0,0.25,7,0.754,9,0.088,7,0.833,9,0.235,0.183333333333333
"9092",9092,76,1,53,32,51,"exp",0.8,0.5,0,0.25,9,0.713,6,0.01,9,0.763,10,0.041,0.183333333333333
